customer_id,gender,senior_citizen,tenure,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,payment_method,has_partner,has_dependents,churned
PT-0022,Female,0,34,55.62,1988.48,Month-to-month,DSL,0,Electronic check,0,0,0
PT-0023,Male,0,69,39.18,2512.99,Two year,No,3,Mailed check,1,1,0
PT-0024,Male,1,39,103.86,3568.83,Two year,DSL,0,Electronic check,0,0,0
PT-0025,Male,0,27,81.87,2444.52,One year,DSL,2,Credit card,1,0,1
PT-0026,Male,0,21,86.71,1849.14,Month-to-month,DSL,1,Electronic check,0,1,1
PT-0027,Female,1,71,33.33,2101.94,Month-to-month,No,3,Bank transfer,0,1,0
PT-0028,Male,0,72,99.57,6967.68,One year,DSL,0,Mailed check,0,0,0
PT-0029,Male,0,43,90.41,3784.66,One year,Fiber optic,2,Electronic check,1,0,0
PT-0030,Male,0,59,51.47,3328.74,Two year,DSL,3,Mailed check,1,0,0
PT-0031,Male,0,45,77.73,3392.58,Two year,Fiber optic,2,Bank transfer,0,1,0
PT-0032,Female,0,14,73.69,983.9,One year,Fiber optic,1,Electronic check,1,1,0
PT-0033,Male,0,1,66.79,72.93,One year,No,1,Credit card,0,1,0
PT-0034,Female,0,39,65.64,2688.13,Month-to-month,Fiber optic,0,Mailed check,0,0,0
PT-0035,Female,0,39,56.55,2426.25,Month-to-month,DSL,2,Bank transfer,1,0,0
PT-0036,Male,1,61,91.44,6347.3,One year,Fiber optic,0,Bank transfer,1,0,0
PT-0037,Male,0,29,92.59,2401.04,Month-to-month,No,0,Credit card,1,1,0
PT-0038,Female,0,52,41.96,2284.07,Month-to-month,Fiber optic,0,Electronic check,1,0,1
PT-0039,Female,0,72,42.43,3374.21,Month-to-month,No,0,Bank transfer,1,1,0
PT-0040,Female,1,58,100.75,6270.64,Month-to-month,DSL,0,Mailed check,1,1,0
PT-0041,Male,0,57,26.97,1438.47,Month-to-month,DSL,0,Mailed check,1,1,0
PT-0042,Male,0,54,56.68,3099.85,Month-to-month,DSL,1,Credit card,1,1,0
PT-0043,Male,1,49,62.93,3493.14,Month-to-month,Fiber optic,4,Mailed check,1,0,0
PT-0044,Female,0,50,50.25,2647.53,Month-to-month,DSL,0,Credit card,0,1,0
PT-0045,Female,1,4,27.56,107.88,Two year,DSL,1,Credit card,1,0,0
PT-0046,Female,0,54,42.7,2016.59,Month-to-month,Fiber optic,3,Bank transfer,0,1,1
PT-0047,Male,0,32,37.94,1039.39,Month-to-month,DSL,0,Mailed check,1,1,0
PT-0048,Female,0,15,90.0,1213.83,Month-to-month,Fiber optic,0,Bank transfer,1,0,0
PT-0049,Male,0,32,29.17,1009.74,Two year,Fiber optic,6,Electronic check,1,1,0
PT-0050,Female,0,65,78.28,4344.28,Month-to-month,Fiber optic,5,Credit card,1,1,0
PT-0051,Female,0,56,35.85,2020.7,One year,Fiber optic,5,Credit card,1,1,0
PT-0052,Female,0,12,45.1,533.21,One year,Fiber optic,0,Credit card,1,0,0
PT-0053,Female,0,63,39.09,2682.71,Month-to-month,No,1,Electronic check,0,0,0
PT-0054,Female,0,72,88.23,6715.82,One year,Fiber optic,0,Electronic check,0,0,0
PT-0055,Male,0,48,62.59,3032.19,Month-to-month,Fiber optic,0,Bank transfer,1,0,0
PT-0056,Male,0,16,86.86,1577.74,One year,DSL,4,Credit card,1,1,0
PT-0057,Female,0,25,46.66,1117.82,Month-to-month,Fiber optic,2,Electronic check,1,1,0
PT-0058,Female,0,2,71.67,142.02,Month-to-month,DSL,2,Electronic check,1,0,1
PT-0059,Male,0,63,26.67,1745.46,Month-to-month,DSL,0,Mailed check,0,1,0
PT-0060,Male,1,49,60.55,2915.97,Two year,No,1,Bank transfer,0,1,0
PT-0061,Male,0,28,43.82,1072.8,Month-to-month,Fiber optic,3,Credit card,1,0,0
PT-0062,Female,0,10,81.86,922.7,One year,Fiber optic,3,Mailed check,1,0,0
PT-0063,Male,0,19,26.43,451.84,Month-to-month,Fiber optic,0,Electronic check,1,1,0
PT-0064,Female,0,65,68.6,4375.74,One year,No,1,Bank transfer,1,0,0
PT-0065,Male,0,6,88.68,480.23,One year,Fiber optic,0,Credit card,1,0,0
PT-0066,Female,0,42,80.31,3735.01,Month-to-month,Fiber optic,8,Bank transfer,1,1,1
PT-0067,Male,0,33,49.09,1848.48,Month-to-month,Fiber optic,4,Credit card,1,0,1
PT-0068,Female,1,64,76.29,5263.39,Month-to-month,Fiber optic,1,Bank transfer,1,1,0
PT-0069,Male,1,31,83.88,2452.65,Month-to-month,Fiber optic,2,Electronic check,1,0,0
PT-0070,Male,0,38,65.8,2330.44,Two year,No,5,Mailed check,1,1,0
PT-0071,Male,1,66,87.17,5125.85,Month-to-month,Fiber optic,3,Bank transfer,0,0,0
PT-0072,Female,0,58,68.47,3786.74,One year,Fiber optic,0,Credit card,1,0,0
PT-0073,Male,1,50,41.02,2220.54,Month-to-month,Fiber optic,0,Credit card,0,0,0
PT-0074,Male,1,43,98.27,4699.96,Month-to-month,Fiber optic,0,Credit card,0,1,1
PT-0075,Male,0,61,90.34,5122.27,One year,Fiber optic,3,Credit card,1,1,0
PT-0076,Female,1,5,75.57,347.78,One year,DSL,2,Mailed check,0,0,0
PT-0077,Male,0,22,82.46,2033.68,Month-to-month,Fiber optic,1,Mailed check,0,1,0
PT-0078,Male,0,23,27.11,692.9,One year,DSL,3,Mailed check,0,0,0
PT-0079,Female,0,2,100.9,199.7,Month-to-month,Fiber optic,6,Bank transfer,1,1,1
PT-0080,Female,0,50,96.8,4268.86,Month-to-month,Fiber optic,4,Bank transfer,1,0,0
PT-0081,Female,0,2,70.93,149.77,One year,DSL,0,Bank transfer,0,1,0
PT-0082,Male,0,33,81.0,2850.16,One year,No,0,Electronic check,0,0,0
PT-0083,Male,1,47,85.91,3541.29,Month-to-month,Fiber optic,2,Bank transfer,1,0,1
PT-0084,Female,0,44,92.38,4026.1,Month-to-month,Fiber optic,2,Mailed check,1,1,0
PT-0085,Female,0,34,68.29,2290.37,One year,Fiber optic,0,Bank transfer,0,1,0
PT-0086,Male,1,72,49.52,3683.19,One year,Fiber optic,0,Credit card,1,1,0
PT-0087,Male,0,5,47.39,236.43,Month-to-month,No,3,Credit card,0,0,0
PT-0088,Female,1,53,104.51,5173.02,One year,DSL,3,Credit card,0,0,0
PT-0089,Female,1,46,25.45,1091.99,Two year,No,2,Mailed check,0,0,0
PT-0090,Male,0,27,26.17,762.8,Month-to-month,DSL,1,Mailed check,1,0,0
PT-0091,Male,0,19,108.88,2093.68,One year,DSL,2,Bank transfer,0,1,0
PT-0092,Male,0,7,31.41,214.66,Month-to-month,DSL,1,Credit card,1,1,0
PT-0093,Female,1,29,105.09,2630.12,One year,No,0,Electronic check,0,0,0
PT-0094,Female,0,63,84.12,5209.83,Two year,DSL,1,Mailed check,0,0,0
PT-0095,Female,0,68,46.54,3169.99,Month-to-month,Fiber optic,4,Mailed check,1,0,0
PT-0096,Female,0,59,55.89,3524.65,Month-to-month,DSL,3,Bank transfer,1,0,0
PT-0097,Female,0,12,94.86,999.41,Month-to-month,Fiber optic,2,Bank transfer,0,0,0
PT-0098,Female,0,37,74.04,2617.56,One year,DSL,0,Credit card,0,0,0
PT-0099,Female,0,36,71.67,2817.92,Two year,No,3,Electronic check,1,0,0
PT-0100,Female,0,45,20.55,1027.36,One year,Fiber optic,0,Mailed check,0,0,0
PT-0101,Male,0,54,60.83,2947.22,Month-to-month,DSL,4,Electronic check,0,0,0
PT-0102,Male,0,35,59.88,2048.03,One year,Fiber optic,1,Mailed check,0,0,0
PT-0103,Female,1,63,67.42,4003.34,Month-to-month,No,3,Mailed check,0,0,0
PT-0104,Male,0,64,87.23,5039.57,Month-to-month,Fiber optic,2,Bank transfer,0,0,0
PT-0105,Male,0,3,61.38,160.82,Month-to-month,Fiber optic,0,Bank transfer,0,0,1
PT-0106,Female,0,59,94.88,6302.87,Month-to-month,No,3,Mailed check,1,1,0
PT-0107,Male,0,40,87.12,3193.72,One year,DSL,0,Mailed check,1,0,0
PT-0108,Male,0,14,33.18,422.33,One year,Fiber optic,0,Electronic check,0,1,0
PT-0109,Female,1,42,97.78,4263.5,Month-to-month,DSL,0,Bank transfer,0,0,0
PT-0110,Female,0,58,23.38,1302.64,Month-to-month,Fiber optic,2,Electronic check,1,0,0
PT-0111,Male,0,25,48.94,1214.55,Month-to-month,DSL,5,Bank transfer,0,1,0
PT-0112,Male,0,57,109.19,6268.77,One year,Fiber optic,4,Bank transfer,1,0,0
PT-0113,Male,0,9,49.67,454.8,Month-to-month,DSL,5,Mailed check,1,0,0
PT-0114,Male,0,40,107.09,4538.66,Month-to-month,Fiber optic,0,Electronic check,1,1,0
PT-0115,Female,0,68,28.41,2030.67,One year,DSL,0,Bank transfer,1,0,0
PT-0116,Male,0,10,46.62,506.5,One year,Fiber optic,6,Electronic check,1,1,1
PT-0117,Female,0,21,36.28,805.96,One year,No,1,Bank transfer,0,0,0
PT-0118,Female,0,69,41.53,3265.83,One year,No,1,Mailed check,1,1,0
PT-0119,Female,0,37,90.03,3334.01,Month-to-month,DSL,2,Bank transfer,0,1,0
PT-0120,Female,1,14,84.03,1182.03,Month-to-month,DSL,4,Mailed check,1,0,0
PT-0121,Male,0,12,105.18,1156.91,Month-to-month,DSL,2,Bank transfer,0,0,0
PT-0122,Female,0,4,48.68,171.3,One year,DSL,2,Mailed check,0,0,0
PT-0123,Female,0,61,60.37,3135.99,Month-to-month,DSL,3,Credit card,0,0,0
PT-0124,Male,0,31,57.78,1949.11,Month-to-month,DSL,0,Credit card,0,1,0
PT-0125,Male,0,38,58.63,2304.68,Month-to-month,Fiber optic,1,Bank transfer,0,1,0
PT-0126,Male,0,61,23.92,1409.6,Month-to-month,Fiber optic,1,Bank transfer,0,0,0
PT-0127,Male,1,43,32.01,1315.44,Month-to-month,Fiber optic,3,Credit card,0,0,1
PT-0128,Female,0,38,38.14,1575.89,Two year,DSL,0,Bank transfer,1,1,0
PT-0129,Male,0,37,52.13,2091.32,Two year,DSL,3,Credit card,1,0,0
PT-0130,Male,0,64,53.06,3698.71,Month-to-month,DSL,3,Credit card,0,0,0
PT-0131,Male,1,38,48.91,1624.44,One year,DSL,0,Credit card,1,0,1
PT-0132,Female,1,56,44.71,2864.32,Two year,DSL,0,Credit card,1,1,0
PT-0133,Male,0,19,96.38,1929.06,Month-to-month,DSL,2,Bank transfer,1,1,1
PT-0134,Male,0,48,53.48,2769.64,One year,Fiber optic,4,Credit card,1,1,0
PT-0135,Male,0,24,64.91,1505.02,One year,DSL,1,Bank transfer,1,0,0
PT-0136,Male,0,23,100.88,2282.03,Month-to-month,Fiber optic,4,Bank transfer,1,1,1
PT-0137,Female,0,21,84.06,1991.56,One year,Fiber optic,0,Mailed check,0,0,0
PT-0138,Male,0,71,71.5,5026.86,Two year,DSL,1,Electronic check,0,0,0
PT-0139,Female,1,53,89.22,5187.35,Month-to-month,No,0,Bank transfer,0,1,0
PT-0140,Male,0,56,65.26,4058.26,Two year,Fiber optic,0,Bank transfer,0,0,0
PT-0141,Male,0,67,100.54,7435.26,Month-to-month,Fiber optic,1,Bank transfer,0,1,0
PT-0142,Male,0,44,95.83,4296.99,Two year,DSL,1,Electronic check,1,1,0
PT-0143,Female,1,4,64.82,269.17,Month-to-month,No,0,Credit card,1,0,1
PT-0144,Male,0,57,57.41,3237.46,Month-to-month,DSL,2,Bank transfer,1,0,1
PT-0145,Female,1,72,29.56,1963.42,Month-to-month,Fiber optic,2,Credit card,1,0,0
PT-0146,Male,0,41,37.09,1365.28,Two year,Fiber optic,2,Bank transfer,1,0,0
PT-0147,Female,1,59,107.0,5773.51,Month-to-month,DSL,0,Credit card,1,1,1
PT-0148,Male,0,18,99.42,1911.7,One year,Fiber optic,2,Credit card,0,1,0
PT-0149,Female,1,37,26.62,986.2,One year,DSL,5,Electronic check,0,0,0
PT-0150,Female,1,47,87.95,3760.45,One year,Fiber optic,1,Electronic check,0,0,0
PT-0151,Female,1,59,33.4,2203.01,Month-to-month,No,1,Bank transfer,1,1,0
PT-0152,Female,1,39,62.74,2092.04,Month-to-month,DSL,3,Credit card,1,1,0
PT-0153,Male,1,61,43.9,2802.9,Two year,Fiber optic,2,Credit card,0,1,0
PT-0154,Female,0,32,22.84,829.16,Month-to-month,DSL,2,Bank transfer,1,0,0
PT-0155,Male,0,65,89.75,6569.71,Two year,Fiber optic,3,Mailed check,1,1,0
PT-0156,Female,0,23,61.37,1425.54,One year,Fiber optic,2,Bank transfer,1,0,0
PT-0157,Female,1,39,40.24,1792.01,Month-to-month,DSL,2,Bank transfer,1,0,0
PT-0158,Female,0,16,71.61,1160.61,Two year,Fiber optic,5,Bank transfer,0,0,1
PT-0159,Male,0,57,79.04,4839.58,Month-to-month,No,1,Bank transfer,0,0,0
PT-0160,Male,0,7,80.29,567.26,One year,DSL,4,Credit card,1,1,0
PT-0161,Male,0,71,108.01,6881.76,One year,No,0,Bank transfer,1,0,0
PT-0162,Male,1,30,68.16,2181.67,Two year,No,2,Mailed check,1,0,0
PT-0163,Male,0,64,36.77,2529.07,Two year,DSL,3,Electronic check,1,0,0
PT-0164,Female,0,65,62.12,3665.69,Month-to-month,DSL,2,Credit card,1,1,0
PT-0165,Female,0,25,35.79,990.35,Two year,No,1,Electronic check,0,0,0
PT-0166,Male,0,34,54.52,1824.06,Month-to-month,DSL,1,Electronic check,1,1,0
PT-0167,Male,0,16,61.89,889.15,One year,No,4,Electronic check,1,0,0
PT-0168,Male,0,62,33.79,2250.68,One year,Fiber optic,0,Credit card,0,0,0
PT-0169,Male,1,58,67.54,3754.89,Two year,DSL,4,Mailed check,0,0,0
PT-0170,Female,0,27,84.52,2274.39,Two year,Fiber optic,0,Electronic check,1,0,0
PT-0171,Female,1,8,70.29,591.47,Month-to-month,DSL,1,Mailed check,0,0,0
PT-0172,Male,1,8,104.11,725.19,Two year,DSL,2,Credit card,0,0,0
PT-0173,Female,0,49,60.37,3328.29,Month-to-month,DSL,5,Mailed check,1,0,1
PT-0174,Female,1,17,85.51,1332.73,Month-to-month,DSL,1,Bank transfer,1,1,0
PT-0175,Female,1,49,94.1,4261.64,Month-to-month,DSL,4,Electronic check,0,1,0
PT-0176,Male,0,27,26.06,723.45,Month-to-month,Fiber optic,0,Electronic check,0,1,1
PT-0177,Female,0,70,39.55,3070.6,Month-to-month,Fiber optic,1,Bank transfer,1,0,0
PT-0178,Male,1,29,57.22,1547.45,One year,Fiber optic,5,Mailed check,1,1,0
PT-0179,Female,0,68,48.69,3227.81,Month-to-month,Fiber optic,2,Mailed check,1,1,1
PT-0180,Female,0,72,57.14,4011.03,One year,Fiber optic,0,Bank transfer,0,0,0
PT-0181,Female,0,12,68.21,899.41,Month-to-month,Fiber optic,1,Electronic check,0,1,0
PT-0182,Male,0,27,98.25,2519.82,Two year,DSL,1,Mailed check,0,1,0
PT-0183,Female,0,27,55.7,1386.29,Month-to-month,DSL,0,Bank transfer,1,0,0
PT-0184,Female,0,13,92.25,1279.27,One year,DSL,2,Mailed check,1,0,0
PT-0185,Male,0,3,43.47,147.42,One year,Fiber optic,3,Credit card,0,0,0
PT-0186,Female,0,63,106.99,7026.89,Month-to-month,DSL,3,Bank transfer,0,0,0
PT-0187,Female,0,70,109.13,8686.96,One year,No,5,Electronic check,0,0,1
PT-0188,Male,0,20,20.82,417.12,Month-to-month,Fiber optic,3,Credit card,1,0,1
PT-0189,Female,0,3,67.65,189.24,Two year,DSL,3,Mailed check,0,0,0
PT-0190,Male,0,68,42.72,2778.11,One year,DSL,0,Credit card,1,1,0
PT-0191,Male,0,11,78.84,960.44,One year,DSL,0,Electronic check,0,1,1
PT-0192,Female,0,43,70.93,3377.52,Month-to-month,Fiber optic,3,Electronic check,0,0,0
PT-0193,Female,0,6,103.17,653.27,Month-to-month,Fiber optic,1,Bank transfer,0,0,0
PT-0194,Female,0,39,34.62,1245.06,Two year,Fiber optic,0,Bank transfer,1,1,0
PT-0195,Male,1,45,24.83,1096.26,Two year,DSL,2,Credit card,1,0,0
PT-0196,Female,0,30,52.02,1767.13,Month-to-month,Fiber optic,0,Credit card,0,1,0
PT-0197,Male,0,11,44.12,467.85,One year,DSL,0,Electronic check,0,0,0
PT-0198,Female,0,17,27.86,463.81,One year,Fiber optic,3,Electronic check,0,0,0
PT-0199,Male,1,42,97.73,3504.16,Month-to-month,Fiber optic,1,Mailed check,0,1,0
PT-0200,Male,0,39,44.16,1539.3,Month-to-month,DSL,0,Bank transfer,1,0,0
PT-0201,Male,0,26,61.21,1417.43,Month-to-month,Fiber optic,3,Bank transfer,1,0,0
PT-0202,Male,0,42,74.29,3302.98,Month-to-month,DSL,0,Credit card,1,0,0
PT-0203,Female,1,32,49.33,1474.52,One year,Fiber optic,3,Mailed check,0,1,0
PT-0204,Male,0,38,94.82,3137.44,Two year,Fiber optic,1,Credit card,0,1,0
PT-0205,Female,0,55,91.02,4366.27,Two year,Fiber optic,0,Credit card,0,0,0
PT-0206,Male,0,32,79.18,2423.55,One year,DSL,3,Credit card,1,0,1
PT-0207,Male,0,29,65.96,1923.63,One year,Fiber optic,0,Mailed check,1,0,0
PT-0208,Female,0,11,30.45,379.23,Month-to-month,DSL,2,Credit card,0,1,0
PT-0209,Female,0,57,84.98,4774.76,Month-to-month,DSL,1,Bank transfer,0,1,0
PT-0210,Male,1,23,69.67,1521.16,Month-to-month,Fiber optic,1,Credit card,0,0,0
PT-0211,Female,0,4,86.36,385.14,Month-to-month,Fiber optic,3,Bank transfer,0,1,1
PT-0212,Male,0,42,37.74,1401.51,One year,Fiber optic,2,Bank transfer,1,1,0
PT-0213,Male,0,46,96.1,4576.24,Two year,Fiber optic,1,Electronic check,0,0,0
PT-0214,Female,0,24,53.6,1147.99,Month-to-month,Fiber optic,4,Credit card,1,0,0
PT-0215,Male,1,22,64.07,1257.44,Month-to-month,Fiber optic,3,Electronic check,1,0,1
PT-0216,Female,1,65,78.78,4981.11,Month-to-month,Fiber optic,2,Credit card,1,0,1
PT-0217,Male,0,38,22.94,799.76,Month-to-month,Fiber optic,0,Credit card,0,1,1
PT-0218,Female,1,6,88.4,521.07,Month-to-month,Fiber optic,0,Mailed check,1,0,0
PT-0219,Female,0,57,97.88,4938.76,Two year,DSL,1,Credit card,0,1,0
PT-0220,Male,0,8,71.31,576.0,One year,DSL,0,Bank transfer,1,1,0
PT-0221,Male,0,53,102.69,6246.69,Two year,DSL,3,Bank transfer,0,1,0
PT-0222,Male,1,35,76.5,2577.23,Month-to-month,Fiber optic,0,Electronic check,1,1,0
PT-0223,Female,0,63,49.46,2650.89,One year,Fiber optic,1,Bank transfer,0,1,0
PT-0224,Female,0,64,44.17,3105.34,Month-to-month,Fiber optic,0,Credit card,1,1,0
PT-0225,Male,0,59,21.47,1429.92,Month-to-month,Fiber optic,4,Mailed check,1,0,0
PT-0226,Female,0,47,42.54,1922.51,Two year,DSL,1,Credit card,1,1,0
PT-0227,Male,0,12,83.33,850.29,Month-to-month,DSL,2,Electronic check,0,1,0
PT-0228,Male,0,17,62.99,983.75,Month-to-month,No,4,Electronic check,1,0,0
PT-0229,Male,0,18,77.74,1473.68,Month-to-month,Fiber optic,1,Bank transfer,0,1,0
PT-0230,Female,1,57,97.4,4863.41,Month-to-month,Fiber optic,1,Credit card,1,0,0
PT-0231,Male,0,36,78.02,2596.52,One year,Fiber optic,0,Electronic check,1,0,0
PT-0232,Male,0,38,78.16,3222.95,One year,DSL,6,Credit card,0,0,0
PT-0233,Male,1,2,108.82,245.97,Month-to-month,No,0,Mailed check,1,0,1
PT-0234,Male,0,34,39.42,1510.19,Two year,Fiber optic,1,Bank transfer,1,0,0
PT-0235,Male,1,69,75.44,4857.85,Month-to-month,Fiber optic,3,Bank transfer,1,1,0
PT-0236,Male,0,56,85.7,5298.03,Month-to-month,DSL,5,Credit card,0,0,0
PT-0237,Male,0,23,30.75,751.36,One year,DSL,4,Bank transfer,0,0,0
PT-0238,Female,0,4,50.15,196.35,One year,DSL,1,Electronic check,1,0,0
PT-0239,Male,0,22,53.09,1082.17,Month-to-month,Fiber optic,1,Electronic check,0,0,0
PT-0240,Female,0,50,102.82,4645.86,Two year,DSL,0,Credit card,0,0,0
PT-0241,Female,0,10,71.44,632.83,One year,DSL,2,Electronic check,1,0,0
PT-0242,Female,0,42,27.77,1151.21,Month-to-month,DSL,4,Bank transfer,0,0,0
PT-0243,Female,0,70,88.44,5717.44,Month-to-month,Fiber optic,2,Electronic check,1,0,0
PT-0244,Female,0,14,38.47,616.64,Month-to-month,No,3,Mailed check,1,0,1
PT-0245,Male,1,53,83.08,4234.81,Two year,DSL,2,Credit card,0,1,0
PT-0246,Female,0,31,46.25,1584.69,Two year,Fiber optic,2,Bank transfer,1,0,0
PT-0247,Male,0,18,90.19,1664.68,Month-to-month,DSL,0,Bank transfer,0,0,0
PT-0248,Female,0,12,34.19,433.18,Two year,Fiber optic,2,Electronic check,0,0,0
PT-0249,Male,0,51,66.21,3556.2,Month-to-month,No,3,Credit card,0,0,0
PT-0250,Male,0,2,25.55,55.41,Month-to-month,DSL,2,Credit card,1,1,0
PT-0251,Male,1,34,102.57,3042.73,Two year,DSL,0,Electronic check,1,0,1
PT-0252,Female,0,22,103.17,2224.22,One year,Fiber optic,0,Credit card,1,0,0
PT-0253,Male,0,36,60.14,1936.82,One year,Fiber optic,0,Credit card,0,0,0
PT-0254,Male,0,26,77.84,2204.28,Month-to-month,No,0,Electronic check,1,1,0
PT-0255,Female,0,65,48.94,2962.02,Month-to-month,Fiber optic,5,Bank transfer,0,0,0
PT-0256,Male,0,13,42.31,507.32,One year,Fiber optic,2,Electronic check,0,1,0
PT-0257,Female,0,23,35.85,847.44,Two year,Fiber optic,2,Bank transfer,0,1,0
PT-0258,Female,1,40,35.8,1233.51,Month-to-month,Fiber optic,1,Electronic check,1,0,0
PT-0259,Male,0,44,84.52,4186.1,Two year,DSL,4,Mailed check,0,1,0
PT-0260,Male,0,51,72.74,3527.85,Month-to-month,No,2,Credit card,1,1,0
PT-0261,Female,0,23,54.05,1330.42,Month-to-month,DSL,5,Credit card,0,0,0
PT-0262,Male,1,14,104.3,1302.78,One year,DSL,2,Bank transfer,0,1,0
PT-0263,Male,0,58,21.03,1113.51,One year,Fiber optic,2,Electronic check,1,0,0
PT-0264,Male,0,64,99.36,6075.23,Month-to-month,No,0,Mailed check,0,0,1
PT-0265,Male,0,3,48.68,165.83,Month-to-month,DSL,0,Electronic check,1,1,0
PT-0266,Female,0,56,104.82,5279.99,Two year,DSL,4,Electronic check,1,0,0
PT-0267,Female,1,70,43.87,2869.62,Month-to-month,DSL,0,Mailed check,0,0,1
PT-0268,Male,0,62,37.97,2019.19,Month-to-month,DSL,0,Electronic check,1,0,0
PT-0269,Female,0,63,100.54,5887.48,One year,Fiber optic,0,Mailed check,1,0,0
PT-0270,Female,0,29,95.34,2818.15,Month-to-month,Fiber optic,3,Electronic check,0,1,0
PT-0271,Female,1,30,69.82,2308.75,Two year,Fiber optic,0,Credit card,0,0,0
PT-0272,Female,0,65,71.41,4665.07,One year,No,1,Mailed check,0,0,0
PT-0273,Male,0,25,31.36,765.98,Two year,Fiber optic,4,Bank transfer,1,1,0
PT-0274,Male,0,50,70.07,3558.21,Two year,Fiber optic,1,Electronic check,1,0,0
PT-0275,Male,1,13,103.24,1367.36,Month-to-month,DSL,0,Credit card,1,0,0
PT-0276,Female,0,23,44.79,920.1,One year,Fiber optic,1,Electronic check,1,0,0
PT-0277,Male,0,35,100.73,3018.12,Two year,DSL,1,Electronic check,0,0,0
PT-0278,Female,0,35,85.59,3089.99,Month-to-month,Fiber optic,4,Credit card,1,1,0
PT-0279,Male,1,21,25.91,578.32,Month-to-month,Fiber optic,0,Mailed check,0,0,0
PT-0280,Male,0,59,24.55,1387.78,Month-to-month,Fiber optic,1,Credit card,1,1,0
PT-0281,Male,0,48,63.99,3021.86,Two year,Fiber optic,0,Bank transfer,0,0,1
PT-0282,Male,0,28,97.14,2840.18,One year,DSL,1,Credit card,0,1,1
PT-0283,Male,0,2,40.14,82.89,Two year,Fiber optic,1,Credit card,1,0,0
PT-0284,Female,0,67,94.19,6116.02,Month-to-month,Fiber optic,0,Bank transfer,1,0,0
PT-0285,Female,0,44,108.95,4995.99,Two year,DSL,0,Bank transfer,0,0,0
PT-0286,Male,0,52,79.45,4355.43,One year,Fiber optic,0,Bank transfer,1,0,0
PT-0287,Male,1,25,50.89,1353.69,One year,Fiber optic,0,Bank transfer,1,0,0
PT-0288,Male,0,13,62.37,869.41,One year,Fiber optic,2,Mailed check,1,1,1
PT-0289,Female,0,40,57.84,2582.1,Month-to-month,Fiber optic,1,Electronic check,0,0,0
PT-0290,Male,0,68,46.85,2759.6,Two year,DSL,2,Mailed check,1,0,0
PT-0291,Female,0,41,97.62,3618.62,Month-to-month,DSL,3,Electronic check,0,0,0
PT-0292,Male,1,21,64.06,1451.63,Month-to-month,Fiber optic,1,Credit card,1,0,0
PT-0293,Female,0,5,68.04,363.74,Two year,No,2,Electronic check,0,1,0
PT-0294,Male,0,40,31.6,1219.84,One year,DSL,0,Electronic check,1,0,0
PT-0295,Female,0,18,50.85,1025.52,Month-to-month,DSL,6,Credit card,0,0,1
PT-0296,Male,0,3,73.07,197.44,Month-to-month,Fiber optic,0,Electronic check,1,1,1
PT-0297,Male,1,7,79.58,582.72,Month-to-month,Fiber optic,0,Bank transfer,1,1,1
PT-0298,Male,0,54,79.55,4505.09,Month-to-month,Fiber optic,2,Mailed check,1,0,0
PT-0299,Male,0,15,90.63,1358.53,One year,Fiber optic,4,Bank transfer,1,0,0
